rail_key,kind,corpus,n
setbackCornerFt,not-applicable,no-source,33478
setbackCornerFt,refused,no-source,21377
setbackCornerFt,unaccounted,no-source,8610
setbackCornerFt,value,at-pin,50789
setbackFrontFt,not-applicable,no-source,33478
setbackFrontFt,refused,no-source,21377
setbackFrontFt,unaccounted,no-source,8610
setbackFrontFt,value,at-pin,50789
setbackRearFt,not-applicable,no-source,33478
setbackRearFt,refused,no-source,21377
setbackRearFt,unaccounted,no-source,8610
setbackRearFt,value,at-pin,50789
setbackRules,not-applicable,no-source,33478
setbackRules,refused,no-source,21377
setbackRules,unaccounted,no-source,8610
setbackRules,value,at-pin,50789
setbackSideFt,not-applicable,no-source,33478
setbackSideFt,refused,no-source,21377
setbackSideFt,unaccounted,no-source,8610
setbackSideFt,value,at-pin,50789
